product_id,brand,model,price,payload,fuel_type,vehicle_type,use_case,description
TRK-001,Suzuki,Super Carry Pro,250.0,810.0,Xăng,Xe tải nhẹ,Nội thành,"Xe tải nhẹ nhập khẩu nguyên chiếc từ Indonesia. Động cơ xăng 1.5L siêu tiết kiệm nhiên liệu, đạt tiêu chuẩn khí thải Euro 5. Thích hợp chở hoa quả, rau củ và đồ khô lưu thông linh hoạt trong ngõ hẻm đô thị."
TRK-002,Suzuki,Super Carry Van,290.0,580.0,Xăng,Van,Nội thành,"Dòng xe tải van đô thị 2 chỗ bán chạy nhất. Khả năng di chuyển linh hoạt trong phố cấm giờ 24/7 mà không lo cấm tải. Phù hợp chở hàng chuyển phát nhanh, thư báo, thiết bị điện máy gia dụng nhỏ gọn."
TRK-003,Thaco,Towner 990,230.0,990.0,Xăng,Xe tải nhẹ,Nội thành,"Xe tải nhẹ trang bị động cơ công nghệ Nhật Bản dung tích 1.3L. Kích thước thùng dài 2.5m tối ưu cho các cửa hàng vật liệu xây dựng, đại lý nước ngọt, gạo chở hàng luồn lách trong thành phố."
TRK-004,Teraco,Tera 100,240.0,990.0,Xăng,Xe tải nhẹ,Nội thành,"Xe sở hữu khối động cơ Mitsubishi bền bỉ, êm ái. Thùng hàng thiết kế thẩm mỹ cao dài tới 2.8m, cabin trang bị điều hòa kính điện tiện nghi. Rất được ưa chuộng bởi các chủ xe chở đồ khô, dưa hấu, rau củ quả."
TRK-005,Thaco,TF2800,360.0,1990.0,Dầu,Xe tải nhẹ,Đường dài,"Dòng xe tải nhẹ tải trọng 1.99 tấn mới. Động cơ dầu công nghệ Đức vận hành mạnh mẽ, thùng hàng dài 3.5m chắc chắn. Phù hợp chở hàng liên tỉnh, đồ gỗ nội thất, thiết bị máy móc công nghiệp nhẹ tầm trung."
TRK-006,Hyundai,New Porter H150,420.0,1490.0,Dầu,Xe tải nhẹ,Đường dài,"Xe tải nhẹ cao cấp mệnh danh là ngôi sao dòng tải nhẹ. Động cơ dầu diesel D4CB 2.5L cực kỳ bốc, khung gầm Hyundai chắc khỏe chịu lực tối đa. Lý tưởng cho xe đông lạnh chở hải sản hoặc xe thùng kín chạy liên tỉnh."
TRK-007,Hyundai,Solati Van,1050.0,1200.0,Dầu,Van,Nội thành,"Dòng xe bán tải van cỡ lớn cải tiến từ xe 16 chỗ Solati. Không gian khoang chở hàng rộng lên tới 8 khối, động cơ dầu 2.5L cực bốc. Rất thích hợp chở hàng thời trang cao cấp, bưu phẩm thương mại điện tử giá trị cao trong phố."
TRK-008,Isuzu,QKR 270,520.0,2490.0,Dầu,Xe tải nhẹ,Đường dài,"Dòng xe tải Nhật Bản tải trọng 2.5 tấn huyền thoại. Siêu bền bỉ, tiết kiệm nhiên liệu tối đa nhờ động cơ Common Rail thế hệ mới. Phù hợp vận chuyển đường dài liên tỉnh chở hàng hóa tạp hóa, nông sản đóng bao."
TRK-009,JAC,N200,450.0,1990.0,Dầu,Xe tải nhẹ,Đường dài,"Xe tải trang bị động cơ Cummins Mỹ cao cấp, bảo hành lên tới 5 năm hoặc 150.000km. Cabin vuông rộng rãi hiện đại, thùng dài 4.3m chở được các loại sắt thép, nhôm kính cồng kềnh đi các tỉnh lân cận."
TRK-010,Isuzu,QMR77HE4,610.0,2990.0,Dầu,Xe tải nặng,Đường dài,"Dòng xe tải trung/nặng tầm 3 tấn mới nhất của Isuzu. Động cơ BluePower Euro 4 vận hành êm ái chịu tải xuất sắc, cabin đầu vuông rộng thoáng. Thích hợp chở tải nặng liên tỉnh như bia nước ngọt, cám gạo, phân bón."
